"Season","Song","Artist","Round"
4,"Circadian Rhythm (Last Dance)","Silversun Pickups","Let's Duet"
4,"Closer","Boyce Avenue","Let's Duet"
4,"Come Back","Pearl Jam","Make Me Ugly Cry"
4,"Congregation Of The Damned","Atreyu","Scary Pumpkin Spice Season"
4,"Crash Bandicoot Main Theme","Vicarious Visions Audio","Game On"
4,"Cruise","Florida Georgia Line","Let's Duet"
4,"Dagger, Dagger: Terror, Terror","Farewell Continental","Let's Duet"
4,"Death","White Lies","Scary Pumpkin Spice Season"
4,"Death Cup","Mom Jeans.","Make Me Ugly Cry"
4,"DON'T TELL THE BOYS","Petey","Best of 2022"
4,"dumb","Stand Atlantic","Best of 2022"
4,"End of a Good Thing","Cory Wells","Make Me Ugly Cry"
4,"Error Operator","Taking Back Sunday","Game On"
4,"Ever Fallen In Love","Thursday","Game On"
4,"Everything's Gonna Be Cool This Christmas","Eels","Happy Holidays, You Bastard"
4,"Ex-Miss","New Found Glory","Happy Holidays, You Bastard"
4,"exile","Taylor Swift","Let's Duet"
4,"F Around and Find Out","Ten Foot Pole","Best of 2022"
4,"Feliz Navidad","Jose Feliciano","Happy Holidays, You Bastard"
4,"Forever Bloom","Chelsea Grin","Let's Duet"
4,"From Past to Present","Jeremy Soule","Game On"
4,"Go Santa Go!","The Wiggles","Happy Holidays, You Bastard"
4,"God of War Ragnarök (feat. Eivør)","Bear McCreary, Eivør","Game On"
4,"Good Riddance","Darren Korb, Ashley Barrett","Game On"
4,"Grey Veins","L.S. Dunes","Best of 2022"
4,"Halloween","Eliza & The Delusionals","Best of 2022"
4,"Halloween Theme","John Carpenter","Scary Pumpkin Spice Season"
4,"Halo","Martin O'Donnell, Michael Salvatori","Game On"
4,"Happier","Cast of Zoey's Extraordinary Playlist","Let's Duet"
4,"Hark! The Herald Angels Sing","Bad Religion","Happy Holidays, You Bastard"
4,"Hate Me","Blue October","Make Me Ugly Cry"
4,"Hear You Me","Jimmy Eat World","Thnks Fr Th Gvngs"
4,"Helena","Misfits","Scary Pumpkin Spice Season"
4,"Here to Forever","Death Cab for Cutie","Best of 2022"
4,"Home","Edward Sharpe & The Magnetic Zeros","Let's Duet"
4,"Hunger Strike","Temple Of The Dog","Let's Duet"
4,"I Don't Know What Christmas Is (But Christmastime Is Here)","Old 97's","Happy Holidays, You Bastard"
4,"I Was Never There","The Weeknd, Gesaffelstein","Make Me Ugly Cry"
4,"I'll Never Tell","Buff the Vampire Slayer Cast","Let's Duet"
4,"If It Means A Lot To You","A Day To Remember","Let's Duet"
4,"Into the Blue","The Joy Formidable","Best of 2022"
4,"It's Quiet Uptown","Renee Elise Goldsberry, Lin-Manuel Miranda, Phillipa Soo, Original Broadways Cast of Hamilton","Make Me Ugly Cry"
4,"Jet Lag","Simple Plan","Let's Duet"
4,"Jiggle Jiggle","Duke & Jones, Louis Theroux","Best of 2022"
4,"Kill the Turkey","Bob's Burgers","Thnks Fr Th Gvngs"
4,"Killer Klowns","The Dickies","Scary Pumpkin Spice Season"
4,"L.G. FUAD","Motion City Soundtrack","Thnks Fr Th Gvngs"
4,"Last Christmas","Brojob","Happy Holidays, You Bastard"
4,"Leather and Lace","Stevie Nicks","Let's Duet"
4,"Legend of Zelda: Suite","Koji Kondo, Andrew Skeet, London Philharmonic Orchestra","Game On"
4,"Lock it Up","No Pressure","Best of 2022"
4,"Lost Woods (From ""The Legend of Zelda: Ocarina of Time"")","Video Game Players","Game On"
4,"Lullaby","The Cure","Scary Pumpkin Spice Season"
4,"Lux Æterna","Metallica","Best of 2022"
4,"Making Christmas","Rise Against","Happy Holidays, You Bastard"
4,"Manimal Instincts","Origin","Scary Pumpkin Spice Season"
4,"Masquerade: Waltz","Aram Khachaturian, London Symphony Orchestra","Scary Pumpkin Spice Season"
4,"Masterpiece","Motionless In White","Make Me Ugly Cry"
4,"Matilda","PUP","Best of 2022"
4,"MEGALOVANIA","Toby Fox","Game On"
4,"Merry Christmas, Kiss My Ass","All Time Low","Happy Holidays, You Bastard"
4,"Midwestern States","The Menzingers","Thnks Fr Th Gvngs"
4,"Monster Mash","Bobby ""Boris"" Pickett, The Crypt-Kickers","Scary Pumpkin Spice Season"
4,"Monster Mash","Bootsy Collins, Buckethead","Scary Pumpkin Spice Season"
4,"Monsters","Matchbook Romance","Scary Pumpkin Spice Season"
4,"Mr. Roboto","Styx","Thnks Fr Th Gvngs"
4,"My Hero","Foo Fighters","Make Me Ugly Cry"
4,"Nightmare","Avenged Sevenfold","Scary Pumpkin Spice Season"
4,"No Control","WILLOW","Make Me Ugly Cry"
4,"No Lies, Just Love","Son, Ambulance, Bright Eyes","Make Me Ugly Cry"
4,"Nothing Better","The Postal Service","Let's Duet"
4,"Numb / Encore","JAY-Z, Linkin Park","Thnks Fr Th Gvngs"
4,"One More Light","Linkin Park","Make Me Ugly Cry"
4,"Over and Out","Twelve Foot Ninja","Let's Duet"
4,"Over My Shoulder","The Early November","Best of 2022"
4,"Peanut Butter Waffles","Ryan Caraveo","Make Me Ugly Cry"
4,"Permanent Rebellion","L.S. Dunes","Best of 2022"
4,"Poke","Frightened Rabbit","Make Me Ugly Cry"
4,"Police Truck","Dead Kennedys","Game On"
4,"Prismelody: Clash on the Big Bridge -C-","片岡 真悟","Game On"
4,"Push + Pull","July Talk","Let's Duet"
4,"Rats","Ghost","Scary Pumpkin Spice Season"
4,"Remembering Sunday","All Time Low","Let's Duet"
4,"Rip & Tear","Mick Gordon","Game On"
4,"Roots","In This Moment","Thnks Fr Th Gvngs"
4,"Rudolph The Red Nosed Reindeer","DMX","Happy Holidays, You Bastard"
4,"Run Rudolph Run","Foo Fighters","Happy Holidays, You Bastard"
4,"Runnin' (Dying To Live)","2Pac, The Notorious B.I.G.","Make Me Ugly Cry"
4,"Santa's Coming for Us","Sia","Happy Holidays, You Bastard"
4,"Say It (To My Face)","Meet Me @ The Altar","Best of 2022"
4,"Scary Monsters and Nice Sprites","Skrillex","Scary Pumpkin Spice Season"
4,"Shake Up Christmas","Train","Happy Holidays, You Bastard"
4,"Silent Night","Chuck Billy","Happy Holidays, You Bastard"
4,"Sleepwalking","All Time Low","Best of 2022"
4,"Snake Eater","Cynthia Harrell","Game On"
4,"Spooky, Scary Skeletons - The Undead Tombstone Remix Extended","Andrew Gold","Scary Pumpkin Spice Season"
4,"Still Alive (feat. Sara Quin)","Jonathan Coulton, Sara Quin","Game On"
4,"Stop","Spice Girls","Thnks Fr Th Gvngs"
4,"Strangest Faces","Bayside","Best of 2022"
4,"Stubb - A Dub","Mr. Bungle","Thnks Fr Th Gvngs"
4,"Suburban Home / I Like Food","Taking Back Sunday","Game On"
4,"Super Mario Bros. Theme","Video Game Players","Game On"
4,"Superman","Goldfinger","Game On"
4,"Take Me or Leave Me","Idina Menzel","Let's Duet"
4,"Take Your Pick","Ice Nine Kills","Let's Duet"
4,"Tchaikovsky: The Nutcracker, Op. 71, Act II: No. 14c, Pas de deux. Variation II ""Dance of the Sugar Plum Fairy""","Pyotr Ilyich Tchaikovsky, Berliner Philharmoniker, Sir Simon Rattle","Happy Holidays, You Bastard"
4,"Telephone","Lady Gaga","Let's Duet"
4,"Terrible Things","Mayaday Parade","Make Me Ugly Cry"
4,"Thank God It's Friday","Ice Nine Kills","Scary Pumpkin Spice Season"
4,"Thank U","Alanis Morissette","Thnks Fr Th Gvngs"
4,"thank u, next","Ariana Grande","Thnks Fr Th Gvngs"
4,"THANK YOU","The Word Alive","Thnks Fr Th Gvngs"
4,"Thank You","Descendents","Thnks Fr Th Gvngs"
4,"Thank You","Simple Plan","Thnks Fr Th Gvngs"
4,"Thank You","Dido","Thnks Fr Th Gvngs"
4,"Thank You","Led Zepplin","Thnks Fr Th Gvngs"
4,"Thank You","Sevendust","Thnks Fr Th Gvngs"
4,"Thank You and Good Night","Weezer","Thnks Fr Th Gvngs"
4,"Thank You for Being a Friend","Andrew Gold","Thnks Fr Th Gvngs"
4,"Thank You Mom","Good Charlotte","Thnks Fr Th Gvngs"
4,"Thanks to You","All Time Low","Thnks Fr Th Gvngs"
4,"The Boy Is Mine","Brandy","Let's Duet"
4,"The Chipmunk Song (Christmas Don't Be Late)","Alvin & The Chipmunks","Happy Holidays, You Bastard"
4,"THE DEATH OF PEACE OF MIND","Bad Omens","Best of 2022"
4,"The Golden Girls - The Main Title Theme","TV Themes","Thnks Fr Th Gvngs"
4,"The Legend Of Zelda - Main Theme","Geek Music","Game On"
4,"The Man Comes Around","Johnny Cash","Scary Pumpkin Spice Season"
4,"The Night Santa Went Crazy","""Weird Al"" Yankovic","Happy Holidays, You Bastard"
4,"The Night We Met","Lord Huron","Make Me Ugly Cry"
4,"The Phantom Of the Opera","Andrew Lloyd Webber, Gerard Butler, Emily Rossum","Scary Pumpkin Spice Season"
4,"The Very First Christmas","Spongebob Squarepants","Happy Holidays, You Bastard"
4,"The Village","Wrabel","Make Me Ugly Cry"
4,"Theme of Laura","Akira Yamaoka","Game On"
4,"These Days","Rudimental","Thnks Fr Th Gvngs"
4,"This Is Halloween","The Citizens of Halloween","Scary Pumpkin Spice Season"
4,"Thnks fr the Mmrs","Fall Out Boy","Thnks Fr Th Gvngs"
4,"Three Cheers For Five Years","Mayday Parade","Let's Duet"
4,"Title Theme (From “Rollercoaster Tycoon 2”)","Allister Brimble","Game On"
4,"Two Is Better Than One","Boys Like Girls","Let's Duet"
4,"Under Pressure","Queen","Let's Duet"
4,"Vampires Will Never Hurt You","My Chemical Romance","Scary Pumpkin Spice Season"
4,"Vermilion, Pt. 2","Slipknot","Make Me Ugly Cry"
4,"WE MADE PLANS & GOD LAUGHED","Beauty School Dropout","Best of 2022"
4,"What's This?","Danny Elfman","Happy Holidays, You Bastard"
4,"When We Were Young","Andy Black","Let's Duet"
4,"Wizards in Winter","Trans-Siberian Orchestra","Happy Holidays, You Bastard"
4,"X-M@$","Corey Taylor","Happy Holidays, You Bastard"
4,"Xmas Time of the Year","Green Day","Happy Holidays, You Bastard"
4,"You'll Be In My Heart","Phil Collins","Make Me Ugly Cry"
4,"You're So Creepy","Ghost Town","Scary Pumpkin Spice Season"
4,"Zanarkand","Nobuo Uematsu","Game On"
4,"Zelda's Lullaby (from ""The Legend of Zelda: Ocarina of Time"") - Epic Version","L'Orchestra Cinematique, Alala","Game On"
4,"Zelda's Lullaby (From ""The Legend of Zelda: Ocarina of Time"") [Cover]","Masters of Sound","Game On"
4,"Zeta Halo","Curtis Schweitzer","Game On"
5,"A Million Dreams","P!nk","First Dance"
5,"ABC","The Jackson 5","All In The Family"
5,"Ace of Spades","Motorhead","Gold Metal"
5,"Alcohol","Barenaked Ladies","Break Me Off A Piece Of That Fancy Feast"
5,"All I Ask Of You","Andrew Lloyd Webber, Patrick Wilson, Emmy Rossum","First Dance"
5,"Amerika","Rammstein","Break Me Off A Piece Of That Fancy Feast"
5,"Angel","Sarah McLachlan","Last Dance"
5,"Ashes of Eden","Breaking Benjamin","Last Dance"
5,"Astronomia","Vicetone","Last Dance"
5,"Babysitters on Acid","Lunachicks","Break Me Off A Piece Of That Fancy Feast"
5,"Banana Pancakes","Jack Johnson","Break Me Off A Piece Of That Fancy Feast"
5,"Be Our Guest","Angela Lansbury, Jerry Orbach, Chorus - Beauty And the Beast","Break Me Off A Piece Of That Fancy Feast"
5,"Beep Beep I'm a Sheep","LilDeuceDeuce, TomSka, Black Gryph0n","Pet Rock"
5,"Better by You, Better Than Me","Judas Priest","Gold Metal"
5,"Beyond a Shadow of a Doubt","Masked Intruder","EP Phone Home"
5,"Black Dog","Led Zeppelin","Pet Rock"
5,"Black Smoke Rising","Greta Van Fleet","All In The Family"
5,"Blackbird","The Beatles","Pet Rock"
5,"Bleeding Out","In Flames","Gold Metal"
5,"Bodies","Drowning Pool","Gold Metal"
5,"Breach","ERRA","Gold Metal"
5,"Bring Back Breakfast","A Great Big Pile of Leaves","Break Me Off A Piece Of That Fancy Feast"
5,"Bullet With Butterfly Wings","The Smashing Pumpkins","Pet Rock"
5,"Cake By The Ocean","DNCE","Break Me Off A Piece Of That Fancy Feast"
5,"Can You Feel the Love Tonight","Joseph Williams, Sally Dworsky, Nathan Lane, Ernie Sabella, Kristie Edwards","First Dance"
5,"Can't Hug Every Cat","The Gregory Brothers, Cara Hartmann","Pet Rock"
5,"Carry On","Avenged Sevenfold","EP Phone Home"
5,"Celebration","Kool & The Gang","Last Dance"
5,"Cemetery Drive","My Chemical Romance","All In The Family"
5,"Dead And Gone","T.I.","Last Dance"
5,"Dead Star","Muse","EP Phone Home"
5,"Digital World","Amaranthe","Gold Metal"
5,"Dirty Paws","Of Monsters and Men","Pet Rock"
5,"Dog Days Are Over","Florence + The Machine","Pet Rock"
5,"Down with the Sickness","Disturbed","Gold Metal"
5,"Du hast","Rammstein","Gold Metal"
5,"Eat It","""Weird Al"" Yankovic","Break Me Off A Piece Of That Fancy Feast"
5,"El Scorcho","Weezer","Break Me Off A Piece Of That Fancy Feast"
5,"Emergency","Paramore","All In The Family"
5,"Eternal Blue","Spiritbox","Gold Metal"
5,"Ev'rybody Wants to Be a Cat","Scatman Crothers, Phil Harris, Thuri Ravesncroft, Liz English","Pet Rock"
5,"Every Thug Needs a Lady","Alkaline Trio","First Dance"
5,"Eye of the Tiger","Survivor","Pet Rock"
5,"Eye of the Tiger","New Found Glory","Pet Rock"
5,"Fire Water Burn","Bloodhound Gang","Last Dance"
5,"Fireflies","Owl City","Pet Rock"
5,"First Day of My Life","Bright Eyes","First Dance"
5,"Fly Like an Eagle","Seal","Pet Rock"
5,"Freak On a Leash","Korn","Gold Metal"
5,"From This Oil Can","Dan Andriano in the Emergency Room","Last Dance"
5,"Gasoline","Knuckle Puck","EP Phone Home"
5,"Go Go Power Rangers (Redux)","Ron Wasserman","Gold Metal"
5,"God Knows","Knocked Loose","EP Phone Home"
5,"Goo Goo Muck","The Cramps","First Dance"
5,"Got Me Wrong","Alice In Chains","EP Phone Home"
5,"Guardians","Tiny Moving Parts","EP Phone Home"
5,"Hands Down","Dashboard Confessional","EP Phone Home"
5,"Head Rolls Off","Frightened Rabbit","Last Dance"
5,"Hear You Me","Jimmy Eat World","Last Dance"
5,"Here to Stay","Brooklane","EP Phone Home"
5,"High and Dry","Radiohead","All In The Family"
5,"Highway to Hell","AC/DC","Last Dance"
5,"Highway Tune","Greta Van Fleet","All In The Family"
5,"Hiphopopotamus vs. Rhymenoceros","Flight of the Conchords","Pet Rock"
5,"His Cheeseburger","VeggieTales","Break Me Off A Piece Of That Fancy Feast"
5,"Hitchin' a Ride","Green Day","Break Me Off A Piece Of That Fancy Feast"
5,"Hollow Point Sniper Hyperbole","USS (Ubiquitous Synergy Seeker)","EP Phone Home"
5,"I Believe in a Thing Called Love","The Darkness","All In The Family"
5,"I Don't Want to Miss a Thing","Aerosmith","First Dance"
5,"I Wanna Be Your Dog","The Stooges","Pet Rock"
5,"I Want It That Way","Backstreet Boys","All In The Family"
5,"I'll Catch You","The Get Up Kids","First Dance"
5,"I'll Cover You","Jesse L. Martin","Last Dance"
5,"In Violet","Grayscale","Last Dance"
5,"Iris","The Goo Goo Dolls","First Dance"
5,"Kickstart My Heart","Motley Crue","Gold Metal"
5,"Killer Tofu","Doug & The Beets","Break Me Off A Piece Of That Fancy Feast"
5,"Kirby","Aesop Rock","Pet Rock"
5,"Kiss","Prince","First Dance"
5,"Kiss Me","Sixpence None The Richer","First Dance"
5,"Kokomo","The Beach Boys","All In The Family"
5,"Kool","28 Days","EP Phone Home"
5,"Let's Eat","Macklemore & Ryan Lewis","Break Me Off A Piece Of That Fancy Feast"
5,"Let's Stay Together","Al Green","First Dance"
5,"Letting Go","Mayday Parade","Last Dance"
5,"Lifeblood","Brand of Sacrifice","Gold Metal"
5,"Lifestyles of the Rick & Famous","Good Charlotte","All In The Family"
5,"Little Dreamer","Van Halen","All In The Family"
5,"Little of Your Love","HAIM","All In The Family"
5,"Lollipop (Candyman)","Aqua","Break Me Off A Piece Of That Fancy Feast"
5,"Love Bits (So Do I)","Halestorm","All In The Family"
5,"Love Survives","Irene Cara","Last Dance"
5,"Lovesong","The Cure","First Dance"
5,"Lovesong","Adele","First Dance"
5,"Manifesto","Nahko And Medicine For The People","Last Dance"
5,"Mastas of Ravenkroft","My Chemical Romance","EP Phone Home"
5,"Master of Puppets","Metallica","Gold Metal"
5,"Merry Axe-Mas","Ice Nine Kills","Gold Metal"
5,"Merry Go Bye Bye","Mr. Bungle","Gold Metal"
5,"Mistaken for Strangers","The National","All In The Family"
5,"Monkey Wrench","Foo Fighters","Pet Rock"
5,"Movin' Out (Anthony's Song)","Billy Joel","EP Phone Home"
5,"Music For a Sushi Restaurant","Harry Styles","Break Me Off A Piece Of That Fancy Feast"
5,"My Own Summer (Shove It)","Deftones","Gold Metal"
5,"My Own Worst Enemy","Lit","All In The Family"
5,"Nights On Broadway","Bee Gees","All In The Family"
5,"Nineteen","Tegan and Sara","All In The Family"
5,"No Phone (live)","CAKE","EP Phone Home"
5,"Nobody Puts Baby in the Corner","Fall Out Boy","EP Phone Home"
5,"Nothing Else Matters","Metallica","First Dance"
5,"ocean eyes","Billie Eilish","EP Phone Home"
5,"Oh!","The Linda Lindas","All In The Family"
5,"One More Light","Linkin Park","Last Dance"
5,"Our House","Farewell Continental","First Dance"
5,"Over the Rainbow","Israel Kamakawiwo'ole","Last Dance"
5,"Papercut","Linkin Park","Gold Metal"
5,"Peaches","The Presidents Of The United States Of America","Break Me Off A Piece Of That Fancy Feast"
5,"Penguins & Polarbears","Millencolin","Pet Rock"
5,"Perfect","Ed Sheeran","First Dance"
5,"Pet Cheetah","Twenty One Pilots","Pet Rock"
5,"Picture Book","The Kinks","All In The Family"
5,"Pittsburgh","The Amity Affliction","Gold Metal"
5,"Pork Soda","Primus","Break Me Off A Piece Of That Fancy Feast"
5,"Pour Some Sugar On Me","Def Leppard","Break Me Off A Piece Of That Fancy Feast"
5,"Pub Feed","The Chats","Break Me Off A Piece Of That Fancy Feast"
5,"Pyro","Kings of Leon","All In The Family"
5,"Right Here In My Arms","HIM","Gold Metal"
5,"Selfless","The Strokes","First Dance"
5,"Shadow Moses","Bring Me The Horizon","Gold Metal"
5,"She's Kerosene","The Interrupters","All In The Family"
5,"Shot At The Night","The Killers","First Dance"
5,"Shot Through The Heart","Bon Jovi","Gold Metal"
5,"Sleep In The Heat","PUP","Pet Rock"
5,"Something Rotten! / Make an Omelette","Brian D'Arcy James, Brad Oscar, 'Something Rotten' Ensemble","Break Me Off A Piece Of That Fancy Feast"
5,"Somewhere Only We Know","Lily Allen","Last Dance"
5,"Sonny","New Found Glory","Last Dance"
5,"Soul Trashing Black Sorcery","Skeletonwitch","Gold Metal"
5,"Spiders","Slipknot","Pet Rock"
5,"Spiderwebs","No Doubt","All In The Family"
5,"Stingin' Belle","Biffy Clyro","All In The Family"
5,"Strawberry Bubblegum","Justin Timberlake","Break Me Off A Piece Of That Fancy Feast"
5,"Such Great Heights","The Postal Service","EP Phone Home"
5,"Sugar","Maroon 5","Break Me Off A Piece Of That Fancy Feast"
5,"Superfast Jellyfish","Gorillaz","Pet Rock"
5,"Supersonic","Oasis","All In The Family"
5,"Surprise! You're Dead!","Faith No More","Last Dance"
5,"Synesthesia","Andrew McMahon in the Wilderness","EP Phone Home"
5,"Take My Breath Away","Berlin","First Dance"
5,"Teenage Kicks","The Undertones","EP Phone Home"
5,"Tequila","Kap Slap, Sammy Arriaga","Break Me Off A Piece Of That Fancy Feast"
5,"The Book Of Love","Peter Gabriel","First Dance"
5,"The Candy Man - From ""Willy Wonka & The Chocolate Factory"" Soundtrack","Aubrey Woods","Break Me Off A Piece Of That Fancy Feast"
5,"The Chicken","Bo Burnham","Pet Rock"
5,"The Cycle","Final Confession","Gold Metal"
5,"The Detrimental Ones","The Silenced","Gold Metal"
5,"The Hydra's Teeth","3 Inches Of Blood","Gold Metal"
5,"The Kill","Thirty Seconds To Mars","All In The Family"
5,"The King and Queen of Gasoline","Hot Milk","EP Phone Home"
5,"The Last Goodbye","Billy Boyd","Last Dance"
5,"The Lovecats","The Cure","Pet Rock"
5,"The Motivation Proclamation","Good Charlotte","All In The Family"
5,"The Truth","Relient K","EP Phone Home"
5,"Thinking out Loud","Ed Sheeran","First Dance"
5,"This Is Not a Song, It's a Sandwich","Psychostick","Break Me Off A Piece Of That Fancy Feast"
5,"This Will Be Our Year","The Zombies","First Dance"
5,"Threat of Joy","The Strokes","EP Phone Home"
5,"Times Like These","Foo Fighters","Last Dance"
5,"Vicinity Of Obscenity","System Of A Down","EP Phone Home"
5,"Voldemort","With Confidence","First Dance"
5,"Wasting Time","The Mowgli's","EP Phone Home"
5,"Watermelon Sugar","Harry Styles","Break Me Off A Piece Of That Fancy Feast"
5,"Welcome the the Black Parade","My Chemical Romance","Last Dance"
5,"Werewolf","Motionless In White","Pet Rock"
5,"White Rabbit","Jefferson Airplane","Pet Rock"
5,"Yellow Cat (Slash) Red Cat","Say Anything","Pet Rock"
5,"You and Me","Lifehouse","First Dance"
5,"You and Me On The Rock","Brandi Carlile","First Dance"
5,"You'll Never Walk Alone","Gerry & The Pacemakers","Last Dance"
5,"You're a Wolf","Sea Wolf","EP Phone Home"
5,"Young And Beautiful","Lana Del Rey","Last Dance"
6,"1234","Feist","Chill Vibes"
6,"3AM","DRAMA","Chill Vibes"
6,"A Little Bit Alexis (From Schitt's Creek)","Annie Murphy","Guilty Pleasures"
6,"Africa","TOTO","Gr80's"
6,"All I Have","Break Anchor","I Knew Them Before They Were Mainstream"
6,"all I understand is that I don't understand","toe","Chill Vibes"
6,"All My Fault","Fenix TX","There Ain't Nothing Like The First Time"
6,"Anything but Ordinary","Avril Lavigne","There Ain't Nothing Like The First Time"
6,"Are You Gonna Go My Way","Lenny Kravitz","There Ain't Nothing Like The First Time"
6,"Bad Apple!!","RichaadEB, Christina Vee","Dick Picks"
6,"Banged Up","Rescue Atlantis","I Knew Them Before They Were Mainstream"
6,"Bark at the Moon","Ozzy Osbourne","Gr80's"
6,"Becky's So Hot","FLETCHER","Pop Rocks"
6,"Better Now","Rich","Dick Picks"
6,"Bitter Sweet Symphony","The Verve","Dick Picks"
6,"Blinding Lights","The Weeknd","Pop Rocks"
6,"Blister In The Sun","Violent Femmes","Gr80's"
6,"Blistered World","Plasma Canvas","I Knew Them Before They Were Mainstream"
6,"Bloody Mary","Clay K Slider","I Knew Them Before They Were Mainstream"
6,"Break Stuff","Limp Bizkit","There Ain't Nothing Like The First Time"
6,"Buildings Tumble","MxPx","There Ain't Nothing Like The First Time"
6,"Careless Whisper","George Michael","Gr80's"
6,"Cha Cha Cha","Kaarija","Pop Rocks"
6,"Chasing Pavements","Adele","Chill Vibes"
6,"Close, Like Lovers","Black & Blonde","I Knew Them Before They Were Mainstream"
6,"Coniunctio","Buckethead","Chill Vibes"
6,"Different Breed","Mela Bee","I Knew Them Before They Were Mainstream"
6,"Don't Know Why","Norah Jones","Chill Vibes"
6,"Don't Say You Love Me","M2M","Guilty Pleasures"
6,"Don't You (Forget About Me)","Simple Minds","Gr80's"
6,"DONTTRUSTME","3OH!3","Guilty Pleasures"
6,"Down with the Sickness","Richard Cheese","Dick Picks"
6,"Dream On","Aerosmith","There Ain't Nothing Like The First Time"
6,"Duck Duck Goose","cupcakKe","Guilty Pleasures"
6,"Eat Your Young","Hozier","Chill Vibes"
6,"Everybody Wants To Rule The World","Tears For Fears","Pop Rocks"
6,"Everytime We Touch","Cascada","Pop Rocks"
6,"Fake","The High Lines","I Knew Them Before They Were Mainstream"
6,"Falls Apart","Thousand Foot Krutch","There Ain't Nothing Like The First Time"
6,"Finest Girl (Bin Laden Song)","The Lonely Island","Guilty Pleasures"
6,"First Light","Dustin Tebbutt","Chill Vibes"
6,"Flowers","Miley Cyrus","Pop Rocks"
6,"Foundations","Kate Nash","Pop Rocks"
6,"Friday","Rebecca Black","Guilty Pleasures"
6,"Funhouse","P!nk","Pop Rocks"
6,"Fyi I Wanna F Your A","Ninja Sex Party","Guilty Pleasures"
6,"Get Schwifty (C-131)","Rick and Morty","Dick Picks"
6,"Ghosting","Mother Mother","Chill Vibes"
6,"Girls, Girls, Girls","Motley Crue","Gr80's"
6,"Go Your Own Way","Fleetwood Mac","Gr80's"
6,"Grace Kelly","MIKA","Pop Rocks"
6,"Handsome Johnny","Richie Havens","Dick Picks"
6,"Heart Attack","One Direction","There Ain't Nothing Like The First Time"
6,"Heat Of The Moment","Asia","Gr80's"
6,"Heathens","Twenty One Pilots","There Ain't Nothing Like The First Time"
6,"Hey Ya!","Outkast","Pop Rocks"
6,"Hollaback Girl","Gwen Stefani","Pop Rocks"
6,"I Don't Want to Wait","Paula Cole","Pop Rocks"
6,"I Miss Having Sex But At Least I Don't Wanna Die Anymore","Waterparks","Guilty Pleasures"
6,"I Touch Myself","Divinyls","Guilty Pleasures"
6,"I'm Too Sexy","Right Said Fred","Guilty Pleasures"
6,"If We Were Gay","Ninja Sex Party","Guilty Pleasures"
6,"Incomplete","Backstreet Boys","Guilty Pleasures"
6,"It Don't Come Easy","Ringo Starr","Dick Picks"
6,"It's All Been Done","Barenaked Ladies","There Ain't Nothing Like The First Time"
6,"Jessie's Girl","Rick Springfield","Dick Picks"
6,"Just A Lil' Think (She Juicy)","Trinidad James, Mystikal, Lil Dicky","Dick Picks"
6,"Just like Heaven","The Cure","Gr80's"
6,"Kids in the Summer","Kid Quill","Chill Vibes"
6,"Kill V. Maim","Grimes","Guilty Pleasures"
6,"Kirby's Dreamland","GlitchxCity","Chill Vibes"
6,"La Bamba","Ritchie Valens","Dick Picks"
6,"Like a Prayer","Madonna","Gr80's"
6,"Line Without a Hook","Ricky Montgomery","Dick Picks"
6,"Livin' la Vida Loca","Ricky Martin","Dick Picks"
6,"Lost King of Fools","Exploding Onions!","I Knew Them Before They Were Mainstream"
6,"Love Buzz","Nirvana","Gr80's"
6,"Love Story","Taylor Swift","Pop Rocks"
6,"Love Will Tear Us Apart","Joy Division","Gr80's"
6,"Magic Dance","David Bowie","Guilty Pleasures"
6,"Make Me Feel","Janelle Monae","Pop Rocks"
6,"Mantis","TVOD","I Knew Them Before They Were Mainstream"
6,"Maps For The Getaway","Andrew McMahon in the Wilderness","Chill Vibes"
6,"Melody for Death","Father Before Me","I Knew Them Before They Were Mainstream"
6,"Memory","Sugarcult","There Ain't Nothing Like The First Time"
6,"Mint Car","The Cure","Gr80's"
6,"Misirlou","Dick Dale & His Del-Tones","Dick Picks"
6,"MMMBop","Hanson","There Ain't Nothing Like The First Time"
6,"Molly","Lil Dicky","Dick Picks"
6,"Never Gonna Give You Up","Rick Astley","Dick Picks"
6,"New Slang","The Shins","Chill Vibes"
6,"Northern Downpour","Panic! At The Disco","Guilty Pleasures"
6,"Over It","Sweet Josephine","I Knew Them Before They Were Mainstream"
6,"Page 30","Fantomas","I Knew Them Before They Were Mainstream"
6,"Paper Planes","M.I.A.","Pop Rocks"
6,"Pieces","The Rumble Fish","I Knew Them Before They Were Mainstream"
6,"Pure Shores","All Saints","Chill Vibes"
6,"Run","Kaleido","I Knew Them Before They Were Mainstream"
6,"Runnin'","Adam Lambert","There Ain't Nothing Like The First Time"
6,"Running In Place - Alternate Take","10 Years","I Knew Them Before They Were Mainstream"
6,"Say It","Daisy Grenade","I Knew Them Before They Were Mainstream"
6,"Say You, Say Me","Lionel Richie","Dick Picks"
6,"Shine I","The Alchemystics","I Knew Them Before They Were Mainstream"
6,"Should I Stay or Should I Go","The Clash","Gr80's"
6,"Shut It Down","Drake","Chill Vibes"
6,"Since U Been Gone","Kelly Clarkson","Pop Rocks"
6,"Sleep","Out of Service","I Knew Them Before They Were Mainstream"
6,"Smokestack Shrieking","stop.drop.rewind","I Knew Them Before They Were Mainstream"
